name,author,genre,times_on_list,mean_price,mean_rating,mean_reviews
"Diary of a Wimpy Kid: Hard Luck, Book 8",Jeff Kinney,Fiction,1,0.0,4.8,6812.0
Diary of a Wimpy Kid: The Last Straw (Book 3),Jeff Kinney,Fiction,1,15.0,4.8,3837.0
Diary of a Wimpy Kid: The Long Haul,Jeff Kinney,Fiction,1,22.0,4.8,6540.0
Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),M Prefontaine,Non Fiction,1,5.0,4.6,7955.0
Divergent,Veronica Roth,Fiction,2,15.0,4.6,27098.0
Divergent / Insurgent,Veronica Roth,Fiction,1,6.0,4.5,17684.0
"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All…",Zhi Gang Sha,Non Fiction,1,6.0,4.6,37.0
Doctor Sleep: A Novel,Stephen King,Fiction,1,13.0,4.7,15845.0
"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Jeff Kinney,Fiction,1,12.0,4.8,3181.0
Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4),Dav Pilkey,Fiction,1,6.0,4.9,5062.0
Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3),Dav Pilkey,Fiction,1,8.0,4.9,4786.0
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,Fiction,2,4.0,4.9,7235.0
Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),Dav Pilkey,Fiction,1,8.0,4.9,12619.0
Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),Dav Pilkey,Fiction,1,8.0,4.9,9089.0
Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),Dav Pilkey,Fiction,1,6.0,4.9,5470.0
Double Down (Diary of a Wimpy Kid #11),Jeff Kinney,Fiction,1,20.0,4.8,5118.0
Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Creative Haven Coloring Books),Marty Noble,Non Fiction,1,5.0,4.6,2134.0
Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,Non Fiction,1,16.0,4.5,2525.0
Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,David Zinczenko,Non Fiction,1,1.0,4.5,720.0
"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",David Zinczenko,Non Fiction,1,14.0,4.3,956.0
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,Non Fiction,2,9.0,4.5,6346.0
Eclipse (Twilight Sagas),Stephenie Meyer,Fiction,1,7.0,4.7,5505.0
Eclipse (Twilight),Stephenie Meyer,Fiction,1,18.0,4.7,5505.0
Educated: A Memoir,Tara Westover,Non Fiction,2,15.0,4.7,28729.0
"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints…",Johanna Basford,Non Fiction,1,9.0,4.7,5413.0
Fahrenheit 451,Ray Bradbury,Fiction,2,8.0,4.6,10721.0
Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),J.K. Rowling,Fiction,1,15.0,4.7,4370.0
Fear: Trump in the White House,Bob Woodward,Non Fiction,1,2.0,4.4,6042.0
Fifty Shades Darker,E L James,Fiction,1,7.0,4.4,23631.0
Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),E L James,Fiction,1,11.0,4.5,20262.0
Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,Fiction,1,32.0,4.5,13964.0
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,Fiction,2,14.0,3.8,47265.0
Fire and Fury: Inside the Trump White House,Michael Wolff,Non Fiction,1,6.0,4.2,13677.0
First 100 Words,Roger Priddy,Non Fiction,5,4.0,4.7,17323.0
Food Rules: An Eater's Manual,Michael Pollan,Non Fiction,1,9.0,4.4,1555.0
Frozen (Little Golden Book),RH Disney,Fiction,1,0.0,4.7,3642.0
"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",John Heilemann,Non Fiction,1,9.0,4.4,1215.0
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,Fiction,3,5.0,4.6,5594.0
George Washington's Sacred Fire,Peter A. Lillback,Non Fiction,1,20.0,4.5,408.0
George Washington's Secret Six: The Spy Ring That Saved the American Revolution,Brian Kilmeade,Non Fiction,1,16.0,4.6,4799.0
Giraffes Can't Dance,Giles Andreae,Fiction,5,4.0,4.8,14038.0
"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",Rachel Hollis,Non Fiction,1,12.0,4.6,7660.0
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,Non Fiction,2,12.0,4.6,22288.0
"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Glenn Beck,Non Fiction,1,11.0,4.6,1365.0
Go Set a Watchman: A Novel,Harper Lee,Fiction,1,19.0,3.6,14982.0
Go the F**k to Sleep,Adam Mansbach,Fiction,1,9.0,4.8,9568.0
Going Rogue: An American Life,Sarah Palin,Non Fiction,1,6.0,4.6,1636.0
Gone Girl,Gillian Flynn,Fiction,3,9.666666666666666,4.0,57271.0
Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal,Pretty Simple Press,Non Fiction,1,6.0,4.6,10141.0
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,Non Fiction,4,14.0,4.5,3457.0
Goodnight Moon,Margaret Wise Brown,Fiction,3,5.0,4.8,8837.0
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,Fiction,2,7.0,4.9,7038.0
"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",David Perlmutter MD,Non Fiction,1,10.0,4.6,5972.0
Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series),E L James,Fiction,1,14.0,4.4,25624.0
Guts,Raina Telgemeier,Non Fiction,1,7.0,4.8,5476.0
Hamilton: The Revolution,Lin-Manuel Miranda,Non Fiction,1,54.0,4.9,5867.0
"Happy, Happy, Happy: My Life and Legacy as the Duck Commander",Phil Robertson,Non Fiction,1,11.0,4.8,4148.0
Harry Potter Coloring Book,Scholastic,Non Fiction,1,9.0,4.7,3564.0
Harry Potter Paperback Box Set (Books 1-7),J. K. Rowling,Fiction,1,52.0,4.8,13471.0
"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2)",J.K. Rowling,Fiction,1,30.0,4.9,19622.0
"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",J.K. Rowling,Fiction,1,12.0,4.0,23973.0
"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (4)",J. K. Rowling,Fiction,1,18.0,4.9,7758.0
"Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (Harry Potter, Book 3)",J.K. Rowling,Fiction,1,30.0,4.9,3146.0
"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",J.K. Rowling,Fiction,1,22.0,4.9,10052.0
Have a Little Faith: A True Story,Mitch Albom,Non Fiction,1,4.0,4.8,1930.0
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,Non Fiction,2,10.0,4.7,15779.0
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,Non Fiction,2,14.0,4.4,15526.0
Homebody: A Guide to Creating Spaces You Never Want to Leave,Joanna Gaines,Non Fiction,1,22.0,4.8,3776.0
How to Win Friends & Influence People,Dale Carnegie,Non Fiction,5,11.0,4.7,25001.0
Howard Stern Comes Again,Howard Stern,Non Fiction,1,16.0,4.3,5272.0
Humans of New York,Brandon Stanton,Non Fiction,2,15.0,4.8,3490.0
Humans of New York : Stories,Brandon Stanton,Non Fiction,1,17.0,4.9,2812.0
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,Non Fiction,1,17.0,4.7,4896.0
"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",Hopscotch Girls,Non Fiction,1,7.0,4.8,9737.0
"I, Alex Cross",James Patterson,Fiction,1,7.0,4.6,1320.0
If Animals Kissed Good Night,Ann Whitford Paul,Fiction,2,4.0,4.8,16643.0
If I Stay,Gayle Forman,Fiction,1,9.0,4.3,7153.0
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Eric Larson,Non Fiction,1,21.0,4.4,4571.0
Inferno,Dan Brown,Fiction,1,14.0,4.1,29651.0
Inheritance: Book IV (Inheritance Cycle),Christopher Paolini,Fiction,1,20.0,4.6,5299.0
Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy…,Jennifer Smith,Non Fiction,2,13.0,4.4,7396.0
It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered,Lysa TerKeurst,Non Fiction,1,12.0,4.8,7062.0
JOURNEY TO THE ICE P,RH Disney,Fiction,1,0.0,4.6,978.0
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,Non Fiction,6,8.0,4.9,19576.0
Joyland (Hard Case Crime),Stephen King,Fiction,1,12.0,4.5,4748.0
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,Non Fiction,1,17.0,4.6,8393.0
Killing Jesus (Bill O'Reilly's Killing Series),Bill O'Reilly,Non Fiction,1,12.0,4.5,11391.0
Killing Kennedy: The End of Camelot,Bill O'Reilly,Non Fiction,1,25.0,4.6,8634.0
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,Non Fiction,2,10.0,4.7,9342.0
Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series),Bill O'Reilly,Non Fiction,1,6.0,4.6,10927.0
Killing Reagan: The Violent Assault That Changed a Presidency (Bill O'Reilly's Killing Series),Bill O'Reilly,Non Fiction,1,5.0,4.6,5235.0
Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series),Bill O'Reilly,Non Fiction,1,6.0,4.8,8916.0
Kitchen Confidential Updated Edition: Adventures in the Culinary Underbelly (P.S.),Anthony Bourdain,Non Fiction,1,8.0,4.8,2507.0
Knock-Knock Jokes for Kids,Rob Elliott,Non Fiction,3,4.0,4.5,3673.0
"Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT Childrens Book)",Jill Twiss,Fiction,1,13.0,4.9,11881.0
Laugh-Out-Loud Jokes for Kids,Rob Elliott,Non Fiction,5,4.0,4.6,6990.0
"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,Non Fiction,1,13.0,4.5,6132.0
Leonardo da Vinci,Walter Isaacson,Non Fiction,1,21.0,4.5,3014.0
Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering,Paper Peony Press,Non Fiction,1,6.0,4.4,7550.0
Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin,Non Fiction,1,15.0,4.8,3828.0
Life,Keith Richards,Non Fiction,1,18.0,4.5,2752.0
Little Bee: A Novel,Chris Cleave,Fiction,1,10.0,4.1,1467.0
Little Blue Truck,Alice Schertle,Fiction,1,0.0,4.9,1884.0
Little Fires Everywhere,Celeste Ng,Fiction,1,12.0,4.5,25706.0
Looking for Alaska,John Green,Fiction,1,7.0,4.5,8491.0
"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",Rob Bell,Non Fiction,1,13.0,4.2,1649.0
Love You Forever,Robert Munsch,Fiction,2,5.0,4.8,18613.0
Magnolia Table: A Collection of Recipes for Gathering,Joanna Gaines,Non Fiction,1,16.0,4.8,9867.0
Make It Ahead: A Barefoot Contessa Cookbook,Ina Garten,Non Fiction,1,20.0,4.5,1386.0
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,Admiral William H. McRaven,Non Fiction,1,11.0,4.7,10199.0
"Mastering the Art of French Cooking, Vol. 2",Julia Child,Non Fiction,1,27.0,4.8,2926.0
Milk and Honey,Rupi Kaur,Non Fiction,3,8.0,4.7,17739.0
Milk and Vine: Inspirational Quotes From Classic Vines,Adam Gasiewski,Non Fiction,1,6.0,4.4,3113.0
Mindset: The New Psychology of Success,Carol S. Dweck,Non Fiction,3,10.0,4.6,5542.0
Mockingjay (The Hunger Games),Suzanne Collins,Fiction,3,8.0,4.5,26741.0
"National Geographic Kids Why?: Over 1,111 Answers to Everything",Crispin Boyer,Non Fiction,1,16.0,4.8,5347.0
National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books),Amy Shields,Non Fiction,1,11.0,4.8,7866.0
New Moon (The Twilight Saga),Stephenie Meyer,Fiction,1,10.0,4.6,5680.0
Night (Night),Elie Wiesel,Non Fiction,1,9.0,4.7,5178.0
No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,Mark Owen,Non Fiction,1,14.0,4.6,8093.0
Obama: An Intimate Portrait,Pete Souza,Non Fiction,1,22.0,4.9,3192.0
"Oh, the Places You'll Go!",Dr. Seuss,Fiction,8,8.0,4.9,21834.0
Old School (Diary of a Wimpy Kid #10),Jeff Kinney,Fiction,1,7.0,4.8,6169.0
Olive Kitteridge,Elizabeth Strout,Fiction,1,12.0,4.2,4519.0
One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,Non Fiction,2,13.0,4.6,3163.0
"Option B: Facing Adversity, Building Resilience, and Finding Joy",Sheryl Sandberg,Non Fiction,1,9.0,4.5,1831.0
Origin: A Novel (Robert Langdon),Dan Brown,Fiction,1,13.0,4.3,18904.0
Orphan Train,Christina Baker Kline,Fiction,1,11.0,4.6,21930.0
Outliers: The Story of Success,Malcolm Gladwell,Non Fiction,2,20.0,4.6,10426.0
P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,Non Fiction,2,5.0,4.7,10820.0
Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3),Rick Riordan,Fiction,1,2.0,4.8,548.0
Player's Handbook (Dungeons & Dragons),Wizards RPG Team,Fiction,3,27.0,4.8,16990.0
Pokémon Deluxe Essential Handbook: The Need-to-Know Stats and Facts on Over 700 Pokémon,Scholastic,Fiction,1,9.0,4.7,3503.0
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,Non Fiction,2,10.0,4.3,13616.0
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,Non Fiction,10,46.0,4.5,8580.0
Puppy Birthday to You! (Paw Patrol) (Little Golden Book),Golden Books,Fiction,1,4.0,4.8,4757.0
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,Non Fiction,2,13.5,4.6,10009.0
Radical: Taking Back Your Faith from the American Dream,David Platt,Non Fiction,2,9.0,4.7,1985.0
Ready Player One: A Novel,Ernest Cline,Fiction,2,12.0,4.6,22536.0
Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1),Rush Limbaugh,Fiction,1,12.0,4.9,7150.0
Rush Revere and the First Patriots: Time-Travel Adventures With Exceptional Americans (2),Rush Limbaugh,Fiction,1,12.0,4.9,3836.0
"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Samin Nosrat,Non Fiction,2,20.0,4.8,7802.0
Sarah's Key,Tatiana de Rosnay,Fiction,1,10.0,4.6,3619.0
"School Zone - Big Preschool Workbook - Ages 4 and Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Reading…",School Zone,Non Fiction,2,6.0,4.8,23047.0
"Secret Garden: An Inky Treasure Hunt and Coloring Book (For Adults, mindfulness coloring)",Johanna Basford,Non Fiction,1,9.0,4.7,9366.0
Sh*t My Dad Says,Justin Halpern,Non Fiction,1,11.0,4.7,1265.0
Ship of Fools: How a Selfish Ruling Class Is Bringing America to the Brink of Revolution,Tucker Carlson,Non Fiction,1,16.0,4.8,3923.0
Shred: The Revolutionary Diet: 6 Weeks 4 Inches 2 Sizes,Ian K. Smith M.D.,Non Fiction,1,6.0,4.1,2272.0
Sookie Stackhouse,Charlaine Harris,Fiction,1,25.0,4.7,973.0
"Soul Healing Miracles: Ancient and New Sacred Wisdom, Knowledge, and Practical Techniques for Healing the Spiritual…",Zhi Gang Sha,Non Fiction,1,17.0,4.6,220.0
Steve Jobs,Walter Isaacson,Non Fiction,2,20.0,4.6,7827.0
Strange Planet (Strange Planet Series),Nathan W. Pyle,Fiction,1,6.0,4.9,9382.0
StrengthsFinder 2.0,Gallup,Non Fiction,9,17.0,4.0,5069.0
"Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance",Steven D. Levitt,Non Fiction,1,18.0,4.5,1583.0
Switch: How to Change Things When Change Is Hard,Chip Heath,Non Fiction,1,13.0,4.6,1907.0
Sycamore Row (Jake Brigance),John Grisham,Fiction,1,18.0,4.5,23114.0
Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,Non Fiction,2,20.0,4.4,637.0
The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,Mike Moreno,Non Fiction,1,22.0,4.3,2314.0
"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",Timothy Ferriss,Non Fiction,1,21.0,4.3,4587.0
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,Non Fiction,10,18.0,4.75,14515.5
The 5000 Year Leap,W. Cleon Skousen,Non Fiction,1,12.0,4.8,1680.0
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,Non Fiction,7,20.571428571428573,4.642857142857143,7353.571428571428
The Alchemist,Paulo Coelho,Fiction,1,39.0,4.7,35799.0
The Amateur,Edward Klein,Non Fiction,1,9.0,4.6,2580.0
The Art of Racing in the Rain: A Novel,Garth Stein,Fiction,2,10.0,4.7,11813.0
The Big Short: Inside the Doomsday Machine,Michael Lewis,Non Fiction,1,17.0,4.7,3536.0
"The Blood Sugar Solution: The UltraHealthy Program for Losing Weight, Preventing Disease, and Feeling Great Now!",Mark Hyman M.D.,Non Fiction,1,14.0,4.2,1789.0
The Blood of Olympus (The Heroes of Olympus (5)),Rick Riordan,Fiction,1,11.0,4.8,6600.0
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk M.D.,Non Fiction,1,12.0,4.8,12361.0
The Book Thief,Markus Zusak,Fiction,2,6.0,4.6,23148.0
The Book of Basketball: The NBA According to The Sports Guy,Bill Simmons,Non Fiction,1,53.0,4.7,858.0
The Book with No Pictures,B. J. Novak,Fiction,2,8.0,4.8,8081.0
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,Non Fiction,2,12.0,4.8,23358.0
The Casual Vacancy,J.K. Rowling,Fiction,1,12.0,3.3,9372.0
The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet…,Thomas Campbell,Non Fiction,1,21.0,4.7,4633.0
The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,Amy Ramos,Non Fiction,2,6.0,4.3,13061.0
The Confession: A Novel,John Grisham,Fiction,1,13.0,4.3,3523.0
The Constitution of the United States,Delegates of the Constitutional,Non Fiction,1,0.0,4.8,2774.0
The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race,Jon Stewart,Non Fiction,1,11.0,4.4,440.0
The Day the Crayons Quit,Drew Daywalt,Fiction,3,9.0,4.8,8922.0
"The Dukan Diet: 2 Steps to Lose the Weight, 2 Steps to Keep It Off Forever",Pierre Dukan,Non Fiction,1,15.0,4.1,2023.0
The Elegance of the Hedgehog,Muriel Barbery,Fiction,1,11.0,4.0,1859.0
The Fault in Our Stars,John Green,Fiction,3,11.5,4.7,50482.0
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,Non Fiction,5,6.0,4.6,3207.0
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Gary Chapman,Non Fiction,1,9.0,4.6,803.0
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,Non Fiction,6,6.0,4.7,23308.0
The Getaway,Jeff Kinney,Fiction,1,0.0,4.8,5836.0
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,Fiction,2,14.0,4.7,7747.0
The Girl Who Played with Fire (Millennium Series),Stieg Larsson,Fiction,1,9.0,4.7,7251.0
The Girl Who Played with Fire (Millennium),Stieg Larsson,Fiction,1,16.0,4.7,7251.0
The Girl on the Train,Paula Hawkins,Fiction,2,12.5,4.1,79446.0
The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,Fiction,2,2.0,4.4,10559.0
The Going-To-Bed Book,Sandra Boynton,Fiction,2,5.0,4.8,5249.0
The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,Fiction,2,20.0,3.9,33844.0
The Great Gatsby,F. Scott Fitzgerald,Fiction,3,7.0,4.4,11616.0
The Guardians: A Novel,John Grisham,Fiction,1,14.0,4.5,13609.0
